,title,artist,date,medium,dimension,image_path
1447,Fragment from Christ Carrying the Cross: Saint John the Evangelist,"Jean Hey, (the Master of Moulins)",1500/05,Oil on panel,10 3/4 × 7 7/8 in. (27.3 × 20 cm); image: 10 1/4 × 7 7/16 in. (26 × 18.8 cm),"Dataset\Jean Hey, (the Master of Moulins)\fragment-from-christ-carrying-the-cross-saint-john-the-evangelist"
1448,Two Putti,Matteo di Giovanni,1490/1510,Tempera or oil on panel,Panel: 46.3 × 37.5 cm (18 1/4 × 14 3/4 in.); Painted Surface: 45.6 × 36.3 cm (18 × 14 1/4 in.),Dataset\Matteo di Giovanni\two-putti
1449,Virgin and Child,Niccolò di Pietro Gerini,1390–1400,Tempera on panel transferred to canvas,78.7 × 46.5 cm (31 3/8 × 18 5/16 in.),Dataset\Niccolò di Pietro Gerini\virgin-and-child
1450,The Crucifixion,Francescuccio Ghissi,c. 1370,Tempera on panel,72.7 × 50.3 cm (28 5/8 × 19 3/4 in.); With Frame: 81.9 × 61 cm (32 1/4 × 24 in.),Dataset\Francescuccio Ghissi\the-crucifixion
1451,"Virgin and Child Enthroned with Saints Peter, Paul, John the Baptist, and Dominic and a Dominican Supplicant",Ugolino di Nerio,1325/35,Tempera on panel,37.2 × 23.2 cm (14 5/8 × 9 1/8 in.),Dataset\Ugolino di Nerio\virgin-and-child-enthroned-with-saints-peter-paul-john-the-baptist-and-dominic-and-a-dominican-supplicant
1452,Saint Catherine of Siena,"Spagna, Lo",1510/15,Tempera and oil on panel,"107.8 × 50.3 cm (42 1/2 × 19 3/4 in.)
Painted surface: 103.8 × 49 cm (40 7/8 × 19 1/4 in.)","Dataset\Spagna, Lo\saint-catherine-of-siena"
1453,Virgin and Child with Two Angels,Francesco Botticini,1465/75,Tempera on panel,78.2 × 55.5 cm (30 3/4 × 21 1/4 in.),Dataset\Francesco Botticini\virgin-and-child-with-two-angels
1454,Untitled (Triple castle),Arturo Herrera,2005/2014,Enamel paint on wall,Dimensions variable,Dataset\Arturo Herrera\untitled-triple-castle
1455,The Virgin and Saint John the Evangelist,Jacob Cornelisz. van Oostsanen,c. 1520,Oil on panel,"34 × 27.4 cm (13 3/8 × 10 13/16 in.)
Image: 33.5 × 26.5 cm (13 3/16 × 10 5/16 in.)",Dataset\Jacob Cornelisz. van Oostsanen\the-virgin-and-saint-john-the-evangelist
1456,Running with Black Panthers and White Doves (from the Panthers In My Father's Palace Series),Mary Lovelace O'Neal,circa 1989–1990,Mixed media on canvas,205.7 x 350.5 cm (81 x 138 in.),Dataset\Mary Lovelace O'Neal\running-with-black-panthers-and-white-doves-from-the-panthers-in-my-father-s-palace-series
1457,The Adoration of the Eucharist,Peter Paul Rubens,about 1626,Oil on panel,12 1/2 × 12 1/2 in. (31.5 × 32 cm),Dataset\Peter Paul Rubens\the-adoration-of-the-eucharist
1458,Woman Reading Before Window,Albert André,1903,Oil on cardboard,55.6 × 32 cm (21 7/8 × 12 5/8 in.),Dataset\Albert André\woman-reading-before-window
1459,Agrigente,Jean Michel Atlan,1959,Oil on canvas,128.9 × 80 cm (50 3/4 × 31 1/2 in.),Dataset\Jean Michel Atlan\agrigente
1460,New Orleans,Jimmy Lee Sudduth,n.d.,Mud and house paint on plywood,96.5 × 127 cm (38 × 50 in.),Dataset\Jimmy Lee Sudduth\new-orleans
1461,"By the Sea, Dieppe",Albert André,1896,Oil on canvas,17 3/4 × 20 1/4 in. (45.2 × 51.4 cm),Dataset\Albert André\by-the-sea-dieppe
1462,View of Genoa,Jean Baptiste Camille Corot,1834,Oil on paper mounted on canvas,11 5/8 × 16 3/8 in. (29.5 × 41.7 cm),Dataset\Jean Baptiste Camille Corot\view-of-genoa
1463,The Courtyard,Stanislas Lépine,c. 1880,Oil on canvas,13 1/4 × 7 in. (33.7 × 18.3 cm),Dataset\Stanislas Lépine\the-courtyard
1464,Bullfight,Édouard Manet,1865/66,Oil on canvas,48 × 60.4 cm (18 7/8 × 23 3/4 in.),Dataset\Édouard Manet\bullfight
1465,Woman at the Piano,Pierre-Auguste Renoir,1875/76,Oil on canvas,93 × 74 cm (36 9/16 × 29 1/8 in.),Dataset\Pierre-Auguste Renoir\woman-at-the-piano
1466,Jean Renoir Sewing,Pierre-Auguste Renoir,1899/1900,Oil on canvas,55.4 × 46.3 cm (21 3/4 × 18 1/4 in.),Dataset\Pierre-Auguste Renoir\jean-renoir-sewing
1467,Screen (Trees and Moon),Silke Otto-Knapp,2019,"Watercolor on canvas, five joined panels","243.8 x 81.3 x 1.9 cm (96 x 32 x 3/4 in.), each panel",Dataset\Silke Otto-Knapp\screen-trees-and-moon
1468,"A Vanitas Still Life with a Flag, Candlestick, Musical Instruments, Books, Writing Paraphernalia, Globes and Hourglass",Edwaert Collier,1662,Oil on canvas,98 x 129.7 cm (38 1/2 x 51 in.),Dataset\Edwaert Collier\a-vanitas-still-life-with-a-flag-candlestick-musical-instruments-books-writing-paraphernalia-globes-and-hourglass
1469,Untitled,Mira Schendel,1964,Tempera on canvas,91.5 x 130 cm (36 x 51 1/4 in.),Dataset\Mira Schendel\untitled
1470,Silver Springs,Arthur B. Davies,1910,Oil on canvas,43.2 × 100.3 cm (17 × 39 1/2 in.),Dataset\Arthur B. Davies\silver-springs
1471,Our River Hudson,Arthur B. Davies,1903,Oil on canvas,59.1 × 71.1 cm (23 1/4 × 28 in.),Dataset\Arthur B. Davies\our-river-hudson
1472,The Herring Net,Winslow Homer,1885,Oil on canvas,76.5 × 122.9 cm (30 1/8 × 48 3/8 in.),Dataset\Winslow Homer\the-herring-net
1473,The White Bridge,John Henry Twachtman,after 1895,Oil on canvas,75 × 75 cm (29 1/2 × 29 1/2 in.),Dataset\John Henry Twachtman\the-white-bridge
1474,Harriet White,Samuel Lovett Waldo,1835/40,Oil on canvas,123.5 × 89.5 cm (48 5/8 × 35 1/4 in.),Dataset\Samuel Lovett Waldo\harriet-white
1475,This Little Pig Went to Market,Lilly Martin Spencer,c. 1857,Oil on canvas,61 × 50.8 cm (24 × 20 in.),Dataset\Lilly Martin Spencer\this-little-pig-went-to-market
1476,Barack,Jordan Casteel,2020,Oil on canvas,76.2 x 114.3 cm (30 x 45 in.),Dataset\Jordan Casteel\barack
1477,Woman with Cigar,Tony Phillips,1973,Oil on linen,137 × 137 cm (54 × 54 in.),Dataset\Tony Phillips\woman-with-cigar
1478,Humility (Demut),Rosa Loy,2011,Casein on canvas,170.2 x 130.2 cm (67 x 51 1/4 in.),Dataset\Rosa Loy\humility-demut
1479,"Untitled (Interior, Still Life on Table)",Jane Freilicher,1952,Oil on linen,54.6 × 54.6 cm (21 1/2 × 21 1/2 in.),Dataset\Jane Freilicher\untitled-interior-still-life-on-table
1480,"Once a Noun, Now a Verb #2",Lari Pittman,1998,Matte oil on mahogany panel,121.9 x 91.4 cm (48 x 36 in.),Dataset\Lari Pittman\once-a-noun-now-a-verb-2
1481,"Soft Lapping of Waves, Green (Leiser Wellenschlag, Grün)",Per Kirkeby,2005,Oil on canvas,304.5 × 204.5 cm (119 7/8  × 80 1/2 in.),Dataset\Per Kirkeby\soft-lapping-of-waves-green-leiser-wellenschlag-grun
1482,The Shadow of Death,William Holman Hunt,1873-74,Oil on panel,104.5 x 82 cm (41 x 32 1/4 in.),Dataset\William Holman Hunt\the-shadow-of-death
1483,Toilet Paper,Alex Hay,1965,Spray lacquer and stencil on linen,245.1 × 121.9 cm (96 1/2 × 48 in.),Dataset\Alex Hay\toilet-paper
1484,El Hombre Sin Rostro,Raul Guerrero,1994,Oil on linen,203.2 × 274.3 cm (80 × 108 in.),Dataset\Raul Guerrero\el-hombre-sin-rostro
1485,Mary in the Sky With Diamonds,Candida Alvarez,2005,Acrylic and enamel on canvas,182.8 × 213 cm (72 × 84 in.),Dataset\Candida Alvarez\mary-in-the-sky-with-diamonds
1486,Mississippi Fisherman,George Caleb Bingham,c. 1850,Oil on canvas,74.9 × 62.5 cm (29 1/2 × 24 5/8 in.),Dataset\George Caleb Bingham\mississippi-fisherman
1487,Têtes-paysage,Francis Picabia,1928,Oil on canvas,23 3/4 × 32 in. (60.3 × 81.2 cm),Dataset\Francis Picabia\tetes-paysage
1488,The Cloisters,Andrew Wyeth,1949,Tempera on board,78.7 × 104.1 cm (31 × 41 in.),Dataset\Andrew Wyeth\the-cloisters
1489,Untitled,Lawrence Weiner,1968,Spray emulsion on canvas,236 × 91.4 cm (93 × 36 in.),Dataset\Lawrence Weiner\untitled
1490,Composition #275,Jean Xceron,1945,Oil on canvas,79.4 × 99.7 cm (31 1/4 × 39 1/4 in.),Dataset\Jean Xceron\composition-275
1491,Woman Fantasizing,Leng Mei,"Qing dynasty, Kangxi period (1662–1722)",Hanging scroll; ink and color on silk,45.5 × 26 in,Dataset\Leng Mei\woman-fantasizing
1492,Arm,Kevin Wolff,1986,Acrylic on canvas,152.4 × 122 cm (60 × 48 in.),Dataset\Kevin Wolff\arm
1493,Mural for a Photographer (Wandbild für einen Fotografen),Franz Wilhelm Seiwert,1925,Oil on canvas,109.5 × 154.5 cm (43 ⅛ × 60 ⅞ in.),Dataset\Franz Wilhelm Seiwert\mural-for-a-photographer-wandbild-fur-einen-fotografen
1494,Unidade no. 1,Lygia Clark,1958,Industrial paint on wood,30 × 30 cm (11 13/16 × 11 13/16 in.),Dataset\Lygia Clark\unidade-no-1
1495,Unidade no. 5,Lygia Clark,1958,Industrial paint on wood,30 × 30 cm (11 13/16 × 11 13/16 in.),Dataset\Lygia Clark\unidade-no-5
1496,This Painting is Dedicated to the American,Llyn Foulkes,1965,Oil on canvas,73.7 × 73.7 cm (29 × 29 in.),Dataset\Llyn Foulkes\this-painting-is-dedicated-to-the-american
1497,dna:study,McArthur Binion,2020,"Ink, oil paint stick and paper on board",122 × 101.6 cm (48 × 40 in.),Dataset\McArthur Binion\dna-study
1498,The Blue Lake (Der blaue See),Gabriele Münter,1912,Oil on canvas,45.4 × 60.5 cm (17 7/8 × 23 3/4 in.),Dataset\Gabriele Münter\the-blue-lake-der-blaue-see
1499,La Duquesa de la Luz en Gallifa,Dan Ramirez,2005,Acrylic on canvas,182.8 × 182.8 cm (72 × 72 in.),Dataset\Dan Ramirez\la-duquesa-de-la-luz-en-gallifa
1500,St. John of Matha and St. Felix of Valois Ransoming Christian Slaves,Franz Xavier Karl Palko,c. 1745,Oil on canvas,37 1/16 × 18 1/2 in. (94.2 × 47 cm),Dataset\Franz Xavier Karl Palko\st-john-of-matha-and-st-felix-of-valois-ransoming-christian-slaves
1501,10/68,Jeremy Moon,1968,Acrylic on canvas,96.5 × 102 cm (38 × 40 1/6 in.),Dataset\Jeremy Moon\10-68
1502,Untitled,Kai Althoff,2021,Oil on linen,99.7 × 113 cm (39 1/4 × 44 1/2 in.),Dataset\Kai Althoff\untitled
1503,Untitled,John Currin,1990,Oil on canvas,76.2 × 81.3 cm (30 × 32 in.),Dataset\John Currin\untitled
1504,Interior view,Judith Rothschild,1945,Oil on canvas,91.8 x 66 cm (36 1/6 x 26 in.),Dataset\Judith Rothschild\interior-view
1505,The Gothic IV,Judith Rothschild,1976,"Relief of foam board, collage, acrylic and ink on foam board",152.72 x 124.14 cm (60 1/8 x 48 7/8 in.),Dataset\Judith Rothschild\the-gothic-iv
1506,Twentieth Century Ruin,Alexander Brook,1932,Oil on canvas,65.4 × 91.9 cm (25 3/4 × 35 7/8 in.),Dataset\Alexander Brook\twentieth-century-ruin
1507,On a Balcony,Mary Cassatt,1878/79,Oil on canvas,89.9 × 65.2 cm (35 1/2 × 25 5/8 in.),Dataset\Mary Cassatt\on-a-balcony
1508,The Rock of Hautepierre,Gustave Courbet,c. 1869,Oil on canvas,31 1/2 × 39 1/2 in. (80.2 × 100.3 cm),Dataset\Gustave Courbet\the-rock-of-hautepierre
1509,Vast Ocean,Günther Uecker,1964,Paint and nails on canvas over wood,175.3 × 175.3 × 12.7 cm (69 × 69 × 5 in.),Dataset\Günther Uecker\vast-ocean
1510,Henry Gibbs,Artist unknown,c. 1721,Oil on canvas,72.4 × 62.2 cm (28 1/2 × 24 1/2 in.),Dataset\Artist unknown\henry-gibbs
1511,A Friendly Warning,Thomas Hicks,1881/90,Oil on canvas,62.9 × 81.9 cm (24 3/4 × 32 1/4 in.),Dataset\Thomas Hicks\a-friendly-warning
1512,Mrs. William Carmichael,John Hesselius,1764/78,Oil on canvas,68 × 53.3 cm (26 3/4 × 21 in.),Dataset\John Hesselius\mrs-william-carmichael
1513,Portrait of a Naval Officer,John Wollaston,1749/58,Oil on canvas,127 × 101.6 cm (50 × 40 in.),Dataset\John Wollaston\portrait-of-a-naval-officer
1514,Niagara Falls in Winter,Jasper Francis Cropsey,1868,Oil on canvas,30.5 × 50.8 cm (12 × 20 in.),Dataset\Jasper Francis Cropsey\niagara-falls-in-winter
1515,Still Life,Eugène Carrière,c. 1875,Oil on canvas,13 1/4 × 16 3/16 in. (33.7 × 41.2 cm),Dataset\Eugène Carrière\still-life
1516,Madam Pompadour,Amedeo Modigliani,1915,Oil on canvas,24 1/16 × 19 3/4 in. (61.1 × 50.2 cm),Dataset\Amedeo Modigliani\madam-pompadour
1517,Madame de Pastoret and Her Son,Jacques Louis David,1791/92,Oil on canvas,129.8 × 96.6 cm (51 1/8 × 38 in.),Dataset\Jacques Louis David\madame-de-pastoret-and-her-son
1518,The Holy Family with Saints Elizabeth and John the Baptist,Peter Paul Rubens,c. 1615,Oil on panel,114.5 × 91.5 cm (45 1/8 × 36 in.),Dataset\Peter Paul Rubens\the-holy-family-with-saints-elizabeth-and-john-the-baptist
1519,"English Harbor, the Pier at Brighton",Robert Bartholow Harshe,c. 1930,Oil on panel,50.8 × 60.6 cm (20 × 23 7/8 in.),Dataset\Robert Bartholow Harshe\english-harbor-the-pier-at-brighton
1520,Approaching Storm,Eugène Louis Boudin,1864,Oil on cradled panel,14 3/8 × 22 1/2 in. (36.3 × 57.9 cm),Dataset\Eugène Louis Boudin\approaching-storm
1521,The Sisters,George Inness,1882,Oil on millboard,50.8 × 40.6 cm (20 × 16 in.),Dataset\George Inness\the-sisters
1522,The Scullion,Augustin Théodule Ribot,1860/70,Oil on canvas,36 3/8 × 20 5/8 in. (92.5 × 52.5 cm),Dataset\Augustin Théodule Ribot\the-scullion
1523,Landscape,André Derain,c. 1920/25,Oil on panel,23 1/8 × 28 1/8 in. (58.75 × 71.4 cm),Dataset\André Derain\landscape
1524,Grapes,André Derain,early 1920s,Oil on canvas,9 7/8 × 17 3/8 in. (25 × 44.1 cm),Dataset\André Derain\grapes
1525,Still Life,André Dunoyer de Segonzac,1920/24,Oil on panel,21 × 17 in.,Dataset\André Dunoyer de Segonzac\still-life
1526,Mahana no atua (Day of the God),Paul Gauguin,1894,Oil on linen canvas,68 × 91 cm (26 7/8 × 36 in.),Dataset\Paul Gauguin\mahana-no-atua-day-of-the-god
1527,Madame Roulin Rocking the Cradle (La berceuse),Vincent van Gogh,1889,Oil on canvas,92.7 × 73.8 cm (36 1/2 × 29 1/2 in.),Dataset\Vincent van Gogh\madame-roulin-rocking-the-cradle-la-berceuse
1528,"Terrace and Observation Deck at the Moulin de Blute-Fin, Montmartre",Vincent van Gogh,early 1887,"Oil on canvas, mounted on pressboard",17 1/8 × 13 in. (43.6 × 33 cm),Dataset\Vincent van Gogh\terrace-and-observation-deck-at-the-moulin-de-blute-fin-montmartre
1529,The Grand Muveran,Ferdinand Hodler,c. 1912,Oil on canvas,27 3/4 × 37 in. (70.5 × 94 cm),Dataset\Ferdinand Hodler\the-grand-muveran
1530,"James Vibert, Sculptor",Ferdinand Hodler,1907,Oil on canvas,25 1/2 × 26 in. (64.7 × 66 cm),Dataset\Ferdinand Hodler\james-vibert-sculptor
1531,Head of a Soldier,Ferdinand Hodler,1917,Oil on canvas,18 1/2 × 18 in.,Dataset\Ferdinand Hodler\head-of-a-soldier
1532,The Ladies of Avignon,André Lhote,c. 1923,Oil on canvas,43 3/8 × 33 in.,Dataset\André Lhote\the-ladies-of-avignon
1533,Woman on Rose Divan,Henri Matisse,1921,Oil on canvas,38 × 46 cm (15 1/4 × 18 1/8 in.),Dataset\Henri Matisse\woman-on-rose-divan
1534,Woman before an Aquarium,Henri Matisse,1921–23,Oil on canvas,81.2 × 100.2 cm (31 15/16 × 39 7/16 in.),Dataset\Henri Matisse\woman-before-an-aquarium
1535,Jacques and Berthe Lipchitz,Amedeo Modigliani,1916,Oil on canvas,81.3 × 54.3 cm (32 × 21 3/8 in.),Dataset\Amedeo Modigliani\jacques-and-berthe-lipchitz
1536,A Sunday on La Grande Jatte — 1884,Georges Seurat,1884/86,Oil on canvas,207.5 × 308.1 cm (81 3/4 × 121 1/4 in.),Dataset\Georges Seurat\a-sunday-on-la-grande-jatte-1884
1537,Street in Paris,Maurice Utrillo,1914,Oil on canvas,25 × 31 1/2 in. (63.5 × 80 cm),Dataset\Maurice Utrillo\street-in-paris
1538,The Old Guitarist,Pablo Picasso,late 1903–early 1904,Oil on panel,122.9 × 82.6 cm (48 3/8 × 32 1/2 in.),Dataset\Pablo Picasso\the-old-guitarist
1539,James McNeill Whistler,Walter Greaves,1869,Oil on canvas,32 7/8 × 22 7/8 in.,Dataset\Walter Greaves\james-mcneill-whistler
1540,The Waterfall,Henri Rousseau,1910,Oil on canvas,45 3/4 × 59 1/8 in. (116.2 × 150.2 cm),Dataset\Henri Rousseau\the-waterfall
1541,Thomas Walker and Peter Monamy,Gawen Hamilton,c. 1735,Oil on canvas,61.6 × 53.3 cm (24 1/4 × 21 in.),Dataset\Gawen Hamilton\thomas-walker-and-peter-monamy
1542,Wounded Stag and Dog,Edwin Henry Landseer,c. 1825,Oil on canvas,19 7/8 × 27 1/16 in. (50.5 × 68.8 cm),Dataset\Edwin Henry Landseer\wounded-stag-and-dog
1543,Alpine Scene,Gustave Doré,1865,Oil on canvas,77 × 51 1/8 in. (195.5 × 130 cm),Dataset\Gustave Doré\alpine-scene
1544,Landscape,Xiang Shengmo,"Qing dynasty (1644–1912), late 17th century",Handscroll; ink and color on paper,13 × 300 in.,Dataset\Xiang Shengmo\landscape
1545,Landscape,Wang Yuanqi,"Qing dynasty (1644–1912), 1706",Hanging scroll; ink and color on paper,41.2 × 23.7 in.,Dataset\Wang Yuanqi\landscape
1546,Interior at Nice,Henri Matisse,1919 or 1920,Oil on canvas,131.5 × 90.7 cm (51 13/16 × 35 11/16 in.),Dataset\Henri Matisse\interior-at-nice
1547,The Resurrection,Bartholomeus Breenbergh,c. 1635,Oil on panel,14 × 8 1/8 in. (35.5 × 20.7 cm),Dataset\Bartholomeus Breenbergh\the-resurrection
1548,Portrait of Woman in White,Pedro Pruna,1934,Oil on canvas,63 5/8 × 32 3/4 in. (161.6 × 82.9 cm),Dataset\Pedro Pruna\portrait-of-woman-in-white
1549,Portrait of a Boy,Eugène Carrière,1886,Oil on canvas,68 × 47 1/2 in. (176 × 120.7 cm),Dataset\Eugène Carrière\portrait-of-a-boy
1550,Portrait of an Aged Courtier,Mughal,c. 1680,Opaque watercolor and gold on paper,Image: 16.2 × 9.4 cm (6 3/8 × 3 3/4 in.); Border: 21.6 × 14.8 cm (8 1/2 × 5 7/8 in.); Paper: 33.4 × 20.5 cm (13 1/8 × 8 1/8 in.),Dataset\Mughal\portrait-of-an-aged-courtier
1551,Portrait of Prince Azam Shah,Mughal,late 17th/early 18th century,Opaque watercolor and gold on paper,Image: 21.8 × 13.4 cm (8 5/8 × 5 1/4 in.); Outermost border: 24.8 × 16.5 cm (9 3/4 × 6 1/2 in.); Paper: 31.3 × 19.4 cm (12 1/8 × 7 5/8 in.),Dataset\Mughal\portrait-of-prince-azam-shah
1552,Album Page with a Portrait of Namdar Khan (Side A) and Calligraphic Specimens (Side B),Mughal,", late 17th century (painting and borders),16th/17th century (calligraphy)",Opaque watercolor and gold on paper,Image: 17.8 × 9.8 cm (7 × 3 7/8 in.); Border: 23.8 × 15.9 cm (9 3/8 × 6 1/4 in.); Paper: 41.3 × 27.1 cm (16 1/4 × 10 5/8 in.),Dataset\Mughal\album-page-with-a-portrait-of-namdar-khan-side-a-and-calligraphic-specimens-side-b
1553,Fountain,André Derain,early 1920s,Oil on panel,10 7/8 × 13 3/4 in. (27.6 × 34.9 cm),Dataset\André Derain\fountain
1554,Texturologie VIII,Jean Dubuffet,1957 (December),Oil on canvas,114.3 × 146.4 cm (45 × 57 5/8 in.),Dataset\Jean Dubuffet\texturologie-viii
1555,Untitled (Seated Woman),David Smith,"1964, December",Enamel on canvas,72.4 × 82.9 cm (28 1/2 × 32 5/8 in.),Dataset\David Smith\untitled-seated-woman
1556,Qur'an Manuscript in Muhaqqaq,Islamic,13th/14th century,"Ink, colors, and gold on paper",35.8 × 26.4 cm (14 × 10 3/8 in.),Dataset\Islamic\qur-an-manuscript-in-muhaqqaq
1557,Texturology LX (Vacation in the Sun),Jean Dubuffet,October 1958,Oil on canvas,114.3 × 146.7 cm (45 × 57 3/4 in. ) unframed,Dataset\Jean Dubuffet\texturology-lx-vacation-in-the-sun
1558,Figure and Flowers,Emil Nolde,c. 1915,Oil on canvas,23 7/8 × 18 7/8 in. (60.6 × 47.9 cm),Dataset\Emil Nolde\figure-and-flowers
1559,The Bedroom,Vincent van Gogh,1889,Oil on canvas,73.6 × 92.3 cm (29 × 36 5/8 in.),Dataset\Vincent van Gogh\the-bedroom
1560,A City Park,William Merritt Chase,c. 1887,Oil on canvas,34.6 × 49.9 cm (13 5/8 × 19 5/8 in.),Dataset\William Merritt Chase\a-city-park
1561,River Boat,Charles François Daubigny,c. 1860,Oil on board,"8 1/4 × 17 7/8 in. (21.2 × 45.4 cm), unframed",Dataset\Charles François Daubigny\river-boat
1562,Man with a Ruff,Anthony van Dyck,17th century,Oil on canvas,26 1/2 × 20 5/8 in. (67.4 × 52.5 cm),Dataset\Anthony van Dyck\man-with-a-ruff
1563,"Study for ""William Rush Carving His Allegorical Figure of the Schuylkill River""",Thomas Eakins,1876/77,Oil on canvas mounted on board,35.9 × 28.6 cm (14 1/8 × 11 1/4 in.),Dataset\Thomas Eakins\study-for-william-rush-carving-his-allegorical-figure-of-the-schuylkill-river
1564,A Peasant Woman Digging in Front of Her Cottage,Vincent van Gogh,c. 1885,Oil on canvas,31.3 × 42 cm (12 5/16 × 16 1/2 in.),Dataset\Vincent van Gogh\a-peasant-woman-digging-in-front-of-her-cottage
1565,Woman and Child (Silence),Jean François Millet,1855/60,Oil on canvas,18 × 15 1/8 in. (45.5 × 38.3 cm),Dataset\Jean François Millet\woman-and-child-silence
1566,St. Albert of Louvain,Peter Paul Rubens,1620,Oil on panel,13 5/8 × 18 in. (34.7 × 45.8 cm),Dataset\Peter Paul Rubens\st-albert-of-louvain
1567,Portrait of a Girl,Francesco Solimena,c. 1700,Oil on canvas,22 3/16 × 17 in. (56.3 × 43.2 cm),Dataset\Francesco Solimena\portrait-of-a-girl
1568,Mrs. Darrow,Manierre Dawson,1911,Oil on panel,81.9 × 60.3 cm (32 1/4 × 23 3/4 in.),Dataset\Manierre Dawson\mrs-darrow
1569,"Fragment of ""Mother and Child""",Pablo Picasso,1921,Oil on canvas,56 7/16 × 17 1/16 in. (143.4 × 44.3 cm.),Dataset\Pablo Picasso\fragment-of-mother-and-child
1570,Ascending and Descending Hero,Bridget Riley,1965,Acrylic emulsion on canvas,182.9 × 274.3 cm (72 × 108 in.),Dataset\Bridget Riley\ascending-and-descending-hero
1571,Santorini,Helen Frankenthaler,1965,Acrylic on canvas,269.2 × 175.3 cm (106 × 69 in.),Dataset\Helen Frankenthaler\santorini
1572,The Dragon and Phoenix Peak of Mount Tianmu,Zhang Feng,Qing dynasty (1644–1912); c. 1660,Hanging scroll; ink and color on silk,143.5 × 74 cm,Dataset\Zhang Feng\the-dragon-and-phoenix-peak-of-mount-tianmu
1573,Commerce Counselor Ebenstein,Oskar Kokoschka,1908,Oil on canvas,101.8 × 81.1 cm (40 1/16 × 31 15/16 in.),Dataset\Oskar Kokoschka\commerce-counselor-ebenstein
1574,"Green Mountains, Canada",Georgia O'Keeffe,1932,Oil on canvas,30.5 × 91 cm (12 × 36 in.),Dataset\Georgia O'Keeffe\green-mountains-canada
1575,The Gladiator,Domenico Morelli,19th century,Oil on panel,13 3/8 × 8 3/8 in. (33.7 × 21.3 cm),Dataset\Domenico Morelli\the-gladiator
